Date,Description,Item Category,Material Category,Cost Price,Cash,Credit,Total Sale,gender,age,visit_frequency,satisfaction_rating
"Wednesday, January 1, 2020",silver charm,Charm,Silver,4,,47.7,47.7,Female,56.0,Regular,4.7
"Wednesday, January 1, 2020",watch repiar,Custom Repairs,,,20,,20,Male,53.0,Occasional,4.0
"Thursday, January 2, 2020",tennis chain,Chain,FJ,20,95,,95,Male,24.0,Regular,4.7
"Thursday, January 2, 2020",gold / diamondnring,Ring,Gold/Diamond,85,,250,250,Male,47.0,Occasional,4.4
"Thursday, January 2, 2020",hoops,Hoops,10k Gold,25,,175,175,Male,35.0,Regular,4.9
"Thursday, January 2, 2020",st st ring,Ring,FJ,3,,14.9,14.9,Male,67.0,Regular,3.4
"Thursday, January 2, 2020",silver hoops x2,Hoops,Silver,25,,95.4,95.4,Female,58.0,Regular,4.0
"Thursday, January 2, 2020",fj band,Ring,FJ,2,,31.8,31.8,Male,43.0,Occasional,3.6
"Thursday, January 2, 2020",tungstung,Ring,Tungsten,8,,53,53,Male,53.0,Regular,4.3
"Friday, January 3, 2020",10k gold chain and charm,Chain and Charm,10k Gold,100,,280,280,Female,62.0,Occasional,3.6
"Friday, January 3, 2020",14k charm,Charm,14k Gold,45,,,0,Male,27.0,Occasional,3.9
"Friday, January 3, 2020",silver stud,Studs,Silver/Diamond,2,,,0,Male,64.0,Regular,3.5
"Friday, January 3, 2020",silvercharm,Charm,Silver,12,,79.5,79.5,Male,31.0,Regular,4.3
"Friday, January 3, 2020",fj watch,Watch,FJ,5,42,,42,Others,24.0,Regular,3.5
"Friday, January 3, 2020",citizen watch,Watch,Citizen,88.5,,170,170,Female,63.0,Regular,4.9
"Friday, January 3, 2020",citizen watch,Watch,Citizen,165,,280,280,Male,30.0,Occasional,3.3
"Friday, January 3, 2020",silver stud,Studs,Silver,8,,42.4,42.4,Female,31.0,Regular,3.7
"Friday, January 3, 2020",silver stud,Studs,Silver,8,,37.1,37.1,Female,39.0,Regular,4.0
"Saturday, January 4, 2020",10k rope chain,Chain,10k Gold,60,106,,106,Female,70.0,Regular,4.8
"Saturday, January 4, 2020",silver chain and charm on lay away,Chain and Charm,Silver,17,10,,10,Male,24.0,Regular,3.9
"Saturday, January 4, 2020",fj chain,Chain,FJ,3,,74.19,74.19,Female,36.0,Regular,5.0
"Saturday, January 4, 2020",repiar,Custom Repairs,,,5,,5,Male,32.0,Occasional,3.9
"Saturday, January 4, 2020",silverbox chain,Chain,Silver,4,20,,20,Male,40.0,Rare,4.2
"Saturday, January 4, 2020",silver pendant,Chain and Charm,Silver,20,53,,53,Female,52.0,Rare,4.0
"Saturday, January 4, 2020",silver cuban,Chain,Silver,15,,84.8,84.8,Male,21.0,Rare,3.6
"Saturday, January 4, 2020",fj watch,Watch,FJ,19,,84.8,84.8,Female,61.0,Regular,4.3
"Saturday, January 4, 2020",ring pick,Ring,Gold/Diamond,,,155,155,Others,48.0,Regular,5.0
"Saturday, January 4, 2020",lay away pick up,Chain,14k Gold,,,100,100,Male,41.0,Regular,4.2
"Saturday, January 4, 2020",tennis chain,Chain,FJ,18,95,,95,Female,56.0,Occasional,4.2
"Saturday, January 4, 2020",silver franco,Chain,Silver,9,,52.99,52.99,Male,19.0,Occasional,5.0
"Saturday, January 4, 2020",silver stud,Studs,Silver,2,20,,20,Male,46.0,Regular,4.7
"Sunday, January 5, 2020",22k rope chain,Chain,,,440,,440,Female,59.0,Regular,4.4
"Sunday, January 5, 2020",name hoop,Hoops,Silver,90,80,,80,Male,55.0,Regular,4.4
"Sunday, January 5, 2020",repiar,Custom Repairs,,,20,,20,Male,51.0,Regular,4.2
"Sunday, January 5, 2020",repiar,Custom Repairs,,,,10,10,Male,62.0,Regular,4.8
"Sunday, January 5, 2020",silver moon cut,Chain,Silver,10,58.3,,58.3,Female,21.0,Regular,3.8
"Sunday, January 5, 2020",silver ring x2,Ring,Silver,28,,201.39,201.39,Male,18.0,Occasional,5.0
"Sunday, January 5, 2020",ring pick up,Ring,Gold/Diamond,,,233,233,Male,32.0,Regular,4.3
"Monday, January 6, 2020",invcta watch,Watch,Invicta,199,302,,302,Male,25.0,Regular,4.7
"Monday, January 6, 2020",fj watch x 4,Watch,FJ,19,50,,50,Male,56.0,Regular,3.5
"Monday, January 6, 2020",Watch,Watch,FJ,19,50,,50,Male,43.0,Occasional,3.5
"Monday, January 6, 2020",Watch,Watch,FJ,15,50,,50,Female,56.0,Rare,4.9
"Monday, January 6, 2020",Watch,Watch,FJ,19,50,,50,Male,67.0,Rare,3.4
"Monday, January 6, 2020",silver ring,Ring,Silver,15,,79.5,79.5,Male,62.0,Occasional,4.8
"Tuesday, January 7, 2020",silver chain on lay away,Chain,Silver,,20,,20,Others,69.0,Occasional,4.2
"Wednesday, January 8, 2020",citizen watch,Watch,Citizen,172.5,,306.34,306.34,Male,57.0,Regular,3.8
"Wednesday, January 8, 2020",hoops pick up,Hoops,Silver,,90,,90,Female,33.0,Rare,4.7
"Thursday, January 9, 2020",14k stud,Studs,14k Gold,10,,50,50,Others,41.0,Regular,4.8
"Thursday, January 9, 2020",citizen watch,Watch,Citizen,105,,268,268,Male,43.0,Occasional,4.7
"Thursday, January 9, 2020",silver chain and charm,Chain and Charm,Silver,27,,100,100,Male,60.0,Occasional,4.4
"Thursday, January 9, 2020",lay away pick up,Chain and Charm,Silver,,,107,107,Male,63.0,Regular,3.7
"Thursday, January 9, 2020",silver studs,Studs,Silver,8,,43,43,Male,20.0,Regular,4.6
