Date,Description,Item Category,Material Category,Cost Price,Cash,Credit,Total Sale,gender,age,visit_frequency,satisfaction_rating
"Friday, February 1, 2019",silver chain and charm,Chain and Charm,Silver,34,120,,120,Male,62.0,Occasional,3.7
"Friday, February 1, 2019",silver Ring on layaway,Ring,Silver,16,,25,25,Female,64.0,Rare,3.9
"Friday, February 1, 2019",10k Gold charm,Charm,10k Gold,33,95,,95,Female,47.0,Rare,3.5
"Friday, February 1, 2019",Silver cross pendant only,Charm,Silver,14,53,,53,Others,68.0,Regular,5.0
"Friday, February 1, 2019",silver stud,Earring,Silver,2,,50,50,Male,40.0,Regular,3.7
"Friday, February 1, 2019",St.St bracelet,Bracelet,FJ,8,,57,57,Others,68.0,Occasional,4.9
"Friday, February 1, 2019",st.St Ring x2,Ring,FJ,20,,200,200,Male,44.0,Occasional,4.3
"Friday, February 1, 2019",Gregory custom gold grillz 10k gold,Custom Fronts,Custom,162,,344.5,344.5,Female,33.0,Occasional,4.9
"Friday, February 1, 2019",silver pendant,Pendant,Silver,10,,103.35,103.35,Female,28.0,Regular,3.9
"Friday, February 1, 2019",silver pendant,Pendant,Silver,10,,103.35,103.35,Male,61.0,Regular,3.5
"Friday, February 1, 2019",silver stud,Earring,Silver,2,20,,20,Male,21.0,Regular,4.5
"Saturday, February 2, 2019",10k Gold chain and charm,Chain and Charm,10k Gold,99,,233.2,233.2,Male,41.0,Regular,4.9
"Saturday, February 2, 2019",silver stud,Earring,Silver,6,,31.8,31.8,Female,48.0,Regular,4.6
"Saturday, February 2, 2019",steel chain and charm,Chain and Charm,FJ,6,30,,30,Male,20.0,Regular,4.0
"Saturday, February 2, 2019",tungstung band,Ring,FJ,8,70,,70,Female,46.0,Regular,3.5
"Saturday, February 2, 2019",steel chain only,Chain,FJ,7,35,,35,Male,56.0,Occasional,4.2
"Saturday, February 2, 2019",silver baby bangle,Bracelet,Silver and Diamond,5,35,,35,Male,55.0,Rare,4.1
"Saturday, February 2, 2019",st.st chain only,Chain,FJ,5,,26.5,26.5,Male,47.0,Regular,4.0
"Saturday, February 2, 2019",silver over gold ring,Ring,Silver,17,,84.8,84.8,Female,65.0,Regular,4.7
"Saturday, February 2, 2019",silver bangle x2,Bracelet,Silver,40,,147.34,147.34,Female,41.0,Occasional,3.9
"Saturday, February 2, 2019",FJ chain and charm,Chain and Charm,FJ,7,,53,53,Male,38.0,Regular,4.9
"Saturday, February 2, 2019",silver pendant,Pendant,Silver,10,,42.4,42.4,Female,45.0,Regular,4.9
"Saturday, February 2, 2019",14k stud,Earring,14K Gold,5,63.6,,63.6,Female,35.0,Regular,3.6
"Saturday, February 2, 2019",10k gold chain and charm,Chain and Charm,10k Gold,154,,300,300,Male,50.0,Regular,4.1
"Saturday, February 2, 2019",10k gold chain only,Chain,10k Gold,99,,219.74,219.74,Female,60.0,Regular,3.3
"Saturday, February 2, 2019",repiars,Custom Repairs,Generic,0,10,,10,Female,45.0,Occasional,3.5
"Saturday, February 2, 2019",silver pendant,Pendant,Silver,25,,169.59,169.59,Female,56.0,Regular,3.7
"Saturday, February 2, 2019",silver Ring on layaway,Ring,Silver,24,,50,50,Female,45.0,Regular,3.5
