Date,Description,Item Category,Material Category,Cost Price,Cash,Credit,Finance,Others,Total Sale,gender,age,visit_frequency,satisfaction_rating
"Friday, January 1, 2021",name necklace,Custom Name Necklace,Gold/Diamond,230.0,,477.0,,,477.0,Male,63.0,Occasional,5.0
"Friday, January 1, 2021",invicta watch,Watch,Invicta,100.0,222.0,,,,222.0,Others,60.0,Regular,4.4
"Friday, January 1, 2021",silver ring,Ring,Silver,32.0,,212.0,,,212.0,Male,27.0,Rare,4.0
"Friday, January 1, 2021",layaway pick up,Chain and Charm,Silver,,,117.34,,,117.34,Male,32.0,Occasional,3.8
"Friday, January 1, 2021",st st ring,Ring,St. Steel,12.0,,45.0,,,45.0,Male,28.0,Occasional,4.6
"Friday, January 1, 2021",ring pick up,Ring,Silver,,,86.0,,,86.0,Others,47.0,Regular,3.5
"Friday, January 1, 2021",invicta watch,Watch,Invicta,126.0,,230.0,,,230.0,Female,32.0,Occasional,4.2
"Friday, January 1, 2021",invicta watch,Watch,Invicta,69.0,,127.2,,,127.2,Others,54.0,Regular,3.8
"Friday, January 1, 2021",silver pendants x 2,Chain and Charm,Silver,16.0,,95.4,,,95.4,Male,46.0,Occasional,3.4
"Saturday, January 2, 2021",fronts pick up,Custom Fronts,Silver,,,112.0,,,112.0,Male,70.0,Regular,3.7
"Saturday, January 2, 2021",repiar,Custom Repairs,,,10.0,,,,10.0,Others,54.0,Occasional,5.0
"Saturday, January 2, 2021",repiar,Custom Repairs,,,10.0,,,,10.0,Male,31.0,Rare,4.1
"Saturday, January 2, 2021",silver studs,Studs,Silver,8.0,40.0,,,,40.0,Female,59.0,Occasional,4.3
"Saturday, January 2, 2021",teeth pick up,Custom Fronts,10k Gold,,,323.6,,,323.6,Male,35.0,Regular,4.7
"Saturday, January 2, 2021",silver chain and charm,Chain and Charm,Silver,22.0,,153.7,,,153.7,Male,21.0,Occasional,4.4
"Sunday, January 3, 2021",name pick up,Custom Name Necklace,10k Gold,,,90.0,,,90.0,Male,37.0,Regular,3.7
"Sunday, January 3, 2021",st st charm,Charm,St. Steel,2.0,,26.5,,,26.5,Female,20.0,Regular,4.9
"Sunday, January 3, 2021",picture pick up,Charm,Silver,,100.0,30.0,,,130.0,Male,29.0,Regular,4.9
"Monday, January 4, 2021",fronts pick up,Custom Fronts,Silver,,,150.34,,,150.34,Male,55.0,Occasional,3.6
"Monday, January 4, 2021",layaway pick up,Chain and Charm,Silver,,,87.0,,,87.0,Male,29.0,Regular,4.3
"Monday, January 4, 2021",14k gold necklace,Chain and Charm,14k Gold,92.4,,173.4,,,173.4,Male,33.0,Rare,4.3
"Tuesday, January 5, 2021",watch repiar,Custom Repairs,,,,15.0,,,15.0,Female,36.0,Regular,3.8
"Tuesday, January 5, 2021",ring repiar,Custom Repairs,,,30.0,,,,30.0,Female,47.0,Occasional,3.7
"Tuesday, January 5, 2021",watch repiar,Custom Repairs,,,,30.0,,,30.0,Others,57.0,Occasional,4.5
"Tuesday, January 5, 2021",layaway pick up,Bracelet,10k Gold,,165.0,,,,165.0,Male,25.0,Regular,4.8
"Tuesday, January 5, 2021",fronts pick up,Custom Fronts,Silver,,,96.1,,,96.1,Male,70.0,Regular,4.0
"Tuesday, January 5, 2021",repiar,Custom Repairs,,,,12.0,,,12.0,Male,48.0,Rare,4.3
"Wednesday, January 6, 2021",citizen watch,Watch,Citizen,,50.0,,,,50.0,Female,36.0,Regular,3.9
"Wednesday, January 6, 2021",st ring,Ring,St. Steel,,,95.4,,,95.4,Female,58.0,Regular,4.8
"Wednesday, January 6, 2021",invicta,Watch,Invicta,,150.0,62.0,,,212.0,Male,18.0,Occasional,4.3
"Thursday, January 7, 2021",silver studs,Studs,Silver,4.0,,25.0,,,25.0,Female,45.0,Occasional,5.0
"Thursday, January 7, 2021",14k studs,Studs,14k Gold,14.0,52.0,,,,52.0,Male,27.0,Regular,3.4
"Thursday, January 7, 2021",repiar,Custom Repairs,,,12.0,,,,12.0,Others,70.0,Regular,4.6
"Thursday, January 7, 2021",silver chain and charm,Chain and Charm,Silver,22.0,,96.46,,,96.46,Male,45.0,Regular,4.3
"Thursday, January 7, 2021",silver studs,Studs,Silver,4.0,,53.0,,,53.0,Male,28.0,Rare,4.3
"Friday, January 8, 2021",watch repiar,Custom Repairs,,,10.0,,,,10.0,Male,43.0,Occasional,3.5
"Friday, January 8, 2021",add money on layaay,,,,50.0,,,,50.0,Male,21.0,Occasional,3.4
"Friday, January 8, 2021",silver chain and charm,Chain and Charm,Silver,35.0,200.0,,,,200.0,Female,43.0,Regular,3.5
"Friday, January 8, 2021",10k gold bracelet,Bracelet,10k Gold,240.0,370.0,,,,370.0,Female,61.0,Occasional,4.0
"Saturday, January 9, 2021",14k studs,Studs,14k Gold,10.0,,95.38,,,95.38,Female,36.0,Regular,3.9
"Saturday, January 9, 2021",tungstung rinh,Ring,Tungsten,10.0,,95.4,,,95.4,Female,25.0,Regular,4.5
"Saturday, January 9, 2021",invicta watch,Watch,Invicta,99.0,,201.4,,,201.4,Female,46.0,Regular,4.0
"Saturday, January 9, 2021",kandy fronts x6,Custom Fronts,Silver,150.0,243.0,,,,243.0,Male,31.0,Regular,3.7
"Sunday, January 10, 2021",repiar,Custom Repairs,,,,15.0,,,15.0,Female,26.0,Regular,4.6
"Sunday, January 10, 2021",tennis chain,Chain,FJ,17.0,106.0,,,,106.0,Female,53.0,Rare,4.8
"Monday, January 11, 2021",10k hoop,Hoops,Silver,25.0,190.0,,,,190.0,Male,57.0,Regular,3.6
"Monday, January 11, 2021",silver pendant,Chain and Charm,Silver,8.0,63.0,,,,63.0,Female,59.0,Occasional,4.5
"Monday, January 11, 2021",fj chain annd charm,Chain and Charm,FJ,,10.0,,,,10.0,Male,67.0,Regular,3.4
"Monday, January 11, 2021",watch repiar,Custom Repairs,,,15.0,,,,15.0,Female,53.0,Regular,4.1
