Item Category,Material Category,Cost Price,Credit,Total Sale,gender,age,visit_frequency,satisfaction_rating,Combined Category,Sale Count,Sale Cluster
Chain & Charm,Silver,34,120.0,120.0,Male,62.0,Occasional,3.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,36,212.0,212.0,Male,59.0,Regular,4.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,36,95.39,95.39,Male,39.0,Regular,3.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,0,147.0,147.0,Female,46.0,Regular,4.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,40,111.3,111.3,Male,67.0,Occasional,4.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,70,212.0,212.0,Female,20.0,Regular,3.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,50,150.0,150.0,Female,32.0,Regular,3.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,0,64.0,64.0,Female,51.0,Occasional,4.2,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30,160.0,160.0,Female,38.0,Occasional,4.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,25,132.5,132.5,Male,36.0,Regular,5.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,25,159.0,159.0,Female,47.0,Regular,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,57,180.2,180.2,Male,24.0,Occasional,4.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,18,90.0,90.0,Male,26.0,Rare,4.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,48,180.2,180.2,Male,51.0,Occasional,4.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,25,95.4,95.4,Female,25.0,Regular,4.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,28,150.0,150.0,Male,34.0,Regular,4.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,6,68.0,68.0,Male,70.0,Regular,4.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,55,265.0,265.0,Male,24.0,Regular,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30,100.0,100.0,Male,59.0,Regular,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,33,110.0,110.0,Male,35.0,Occasional,3.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,85,224.0,224.0,Male,46.0,Occasional,4.1,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,40,190.8,190.8,Male,24.0,Occasional,5.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30,148.39,148.39,Male,63.0,Regular,4.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,59,160.0,160.0,Male,25.0,Occasional,3.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,40,20.0,20.0,Male,55.0,Occasional,4.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,35,153.7,153.7,Others,24.0,Regular,3.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,35,153.7,153.7,Male,58.0,Occasional,4.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,40,130.0,130.0,Female,38.0,Occasional,4.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,0,107.0,107.0,Female,63.0,Regular,5.0,Chain & Charm - Silver,967,Most Selling
